日期,小時,版位編號,供應商名稱,網站,網站名稱,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads (Viewability),Eligible Ads for Viewability (Viewability),Measured Ads (Viewability),% Measured Ads (Viewability),Viewable Impressions (Viewability),% Viewable Impressions (Viewability),Non-Viewable Ads (Viewability),% Non-Viewable Ads (Viewability),Average Time In View (Sec) (Viewability),Total Tracked Ads (IVT),Eligible Ads for Invalid Traffic (IVT),Invalid Traffic Ads (IVT),Valid Traffic Ads (IVT),General Invalid Traffic (GIVT) Ads (IVT),Sophisticated Invalid Traffic (SIVT) Ads (IVT),Bots (SIVT) Ads (IVT),Domain Spoofing (SIVT) Ads (IVT),Hidden Ads (SIVT) Ads (IVT),% Eligible for Invalid Traffic (IVT),% Invalid Traffic Ads (IVT),% General Invalid Traffic (GIVT) Ads (IVT),% Sophisticated Invalid Traffic (SIVT) Ads (IVT),% Bots (SIVT) Ads (IVT),% Domain Spoofing (SIVT) Ads (IVT),% Hidden Ads (SIVT) Ads (IVT),Total Tracked Ads (SiteQuality),Reduced Value Inventory (RVI) Ads (SiteQuality),Incentivized Browsing (RVI) Ads (SiteQuality),Proxy Server (RVI) Ads (SiteQuality),seeThrough Ads (SiteQuality),Invisible URL Ads (SiteQuality),Total Eligible Ads for Site Quality (SiteQuality),% Reduced Value Inventory (RVI) Ads (SiteQuality),% seeThrough Ads (SiteQuality),Invisible URL rate (SiteQuality),% Incentivized Browsing (RVI) Ads (SiteQuality),% Proxy Server (RVI) Ads (SiteQuality),Total Tracked Ads (BrandSuitability),MFA Ads (BrandSuitability),AD Clutter Ads (BrandSuitability),Total Eligible Ads for Brand Suitability (BrandSuitability),Brand Suitability Passed Ads (BrandSuitability),Brand Suitability Failed Ads (BrandSuitability),% Brand Suitability Passed Ads (BrandSuitability),% Brand Suitability Failed Ads (BrandSuitability),MFA rate (BrandSuitability),AD Clutter rate (BrandSuitability),Total Tracked Ads (QualImpressions),Eligible ads for quality Impressions (QualImpressions),Quality Ads (QualImpressions),Non-quality Ads (QualImpressions),Quality Ads rate (QualImpressions),Non-quality Ads rate (QualImpressions)
20260126,15,10012,英屬維京群島商浩美數位有限公司台灣分公司,2315.0,Teepr亮新聞-exchange,CF_336x280Banner_Teepr亮新聞-exchange,,知名媒體,,584,292,292,100.00%,16,5.48%,276,94.52%,0.25,584,584,0,584,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,584,12,0,12,396,0,584,2.05%,67.81%,0.00%,0.00%,2.05%,572,0,0,572,570,2,99.65%,0.35%,0.00%,0.00%,590,590,588,2,99.66%,0.34%
20260126,15,10594,第一網站股份有限公司,2300.0,keketravel,(子)CF_336x280_keketravel,,,子聯播網,8,0,0,0.00%,0,0.00%,0,0.00%,0.00,8,8,8,0,2,6,6,0,0,100.00%,100.00%,25.00%,75.00%,75.00%,0.00%,0.00%,8,0,0,0,8,0,8,0.00%,100.00%,0.00%,0.00%,0.00%,8,0,0,8,0,8,0.00%,100.00%,0.00%,0.00%,8,8,0,8,0.00%,100.00%
20260126,15,11080,昱得資訊工作室,2528.0,數位書香,CF_728x90_首頁上方_數位書香,antifroud,,,7,3,3,100.00%,1,33.33%,2,66.67%,23.84,7,7,0,7,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,0,0,7,0,7,0.00%,100.00%,0.00%,0.00%,0.00%,7,0,0,7,7,0,100.00%,0.00%,0.00%,0.00%,7,7,7,0,100.00%,0.00%
20260126,15,11081,昱得資訊工作室,2528.0,數位書香,CF_160x600_首頁右側_數位書香,antifroud,,,444,205,205,100.00%,89,43.41%,116,56.59%,3.21,444,444,0,444,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,438,0,0,0,438,0,438,0.00%,100.00%,0.00%,0.00%,0.00%,444,0,0,444,432,12,97.30%,2.70%,0.00%,0.00%,444,444,432,12,97.30%,2.70%
20260126,15,11260,第一網站股份有限公司,2540.0,risu短網址,MW-300X250-MB_page_left-risu,,知名媒體,,12,4,4,100.00%,3,75.00%,1,25.00%,1.89,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%,12,0,0,12,12,0,100.00%,0.00%,0.00%,0.00%,12,12,12,0,100.00%,0.00%
20260126,15,11273,第一網站股份有限公司,2492.0,ttshow,MW-300X250-ttshow,,知名媒體,,12,6,6,100.00%,2,33.33%,4,66.67%,1.20,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%,12,0,0,12,12,0,100.00%,0.00%,0.00%,0.00%,12,12,12,0,100.00%,0.00%
20260126,15,11443,第一網站股份有限公司,2601.0,Meme梗圖倉庫,CF-336X280-meme,,,,353,159,159,100.00%,14,8.81%,145,91.19%,0.98,353,353,4,349,4,0,0,0,0,100.00%,1.13%,1.13%,0.00%,0.00%,0.00%,0.00%,353,12,0,12,336,0,353,3.40%,95.18%,0.00%,0.00%,3.40%,347,0,0,347,332,15,95.68%,4.32%,0.00%,0.00%,347,347,329,18,94.81%,5.19%
20260126,15,12070,艾得基客行銷顧問股份有限公司,2578.0,鉅亨網,MW_320x480_文中創意_鉅亨網,,知名媒體,,"7,729","3,814","3,814",100.00%,"2,940",77.08%,874,22.92%,14.89,"7,723","7,723",26,"7,697",2,24,24,0,0,100.00%,0.34%,0.03%,0.31%,0.31%,0.00%,0.00%,"7,747",401,0,401,"6,241",0,"7,747",5.18%,80.56%,0.00%,0.00%,5.18%,"7,723",0,0,"7,723","7,584",139,98.20%,1.80%,0.00%,0.00%,"7,759","7,759","7,620",139,98.21%,1.79%
20260126,15,12561,時報資訊股份有限公司,2770.0,中時電子報_HB,MW_300x250_內頁TOP Banner_中時電子報_HB,antifroud,知名媒體,,"7,723","3,803","3,803",100.00%,697,18.33%,"3,106",81.67%,1.28,"7,723","7,723",12,"7,711",0,12,12,0,0,100.00%,0.16%,0.00%,0.16%,0.16%,0.00%,0.00%,"7,717",958,0,958,"6,321",0,"7,717",12.41%,81.91%,0.00%,0.00%,12.41%,"7,687",0,0,"7,687","7,246",441,94.26%,5.74%,0.00%,0.00%,"7,741","7,741","7,299",442,94.29%,5.71%
20260126,15,12570,第一網站股份有限公司,2768.0,czbooks,CF_728x90_banner_czbooks,,,,"62,948","31,046","31,046",100.00%,"23,389",75.34%,"7,657",24.66%,4.61,"62,942","62,942",248,"62,694",175,73,73,0,0,100.00%,0.39%,0.28%,0.12%,0.12%,0.00%,0.00%,"62,948",680,0,680,"62,822",0,"62,948",1.08%,99.80%,0.00%,0.00%,1.08%,"62,948",0,0,"62,948","41,980","20,968",66.69%,33.31%,0.00%,0.00%,"62,948","62,948","41,980","20,968",66.69%,33.31%
