日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Invalid Traffic,Invalid Traffic Ads,Valid Traffic Ads,General Invalid Traffic (GIVT) Ads,Sophisticated Invalid Traffic (SIVT) Ads,Bots (SIVT) Ads,Domain Spoofing (SIVT) Ads,Hidden Ads (SIVT) Ads,% Eligible for Invalid Traffic,% Invalid Traffic Ads,% General Invalid Traffic (GIVT) Ads,% Sophisticated Invalid Traffic (SIVT) Ads,% Bots (SIVT) Ads,% Domain Spoofing (SIVT) Ads,% Hidden Ads (SIVT) Ads
20260126,15,英屬維京群島商浩美數位有限公司台灣分公司,2315,Teepr亮新聞-exchange,10012,CF_336x280Banner_Teepr亮新聞-exchange,,知名媒體,,584,584,0,584,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2300,keketravel,10594,(子)CF_336x280_keketravel,,,子聯播網,8,8,8,0,2,6,6,0,0,100.00%,100.00%,25.00%,75.00%,75.00%,0.00%,0.00%
20260126,15,昱得資訊工作室,2528,數位書香,11080,CF_728x90_首頁上方_數位書香,antifroud,,,7,7,0,7,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,昱得資訊工作室,2528,數位書香,11081,CF_160x600_首頁右側_數位書香,antifroud,,,444,444,0,444,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2540,risu短網址,11260,MW-300X250-MB_page_left-risu,,知名媒體,,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2492,ttshow,11273,MW-300X250-ttshow,,知名媒體,,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2601,Meme梗圖倉庫,11443,CF-336X280-meme,,,,353,353,4,349,4,0,0,0,0,100.00%,1.13%,1.13%,0.00%,0.00%,0.00%,0.00%
20260126,15,艾得基客行銷顧問股份有限公司,2578,鉅亨網,12070,MW_320x480_文中創意_鉅亨網,,知名媒體,,"7,723","7,723",26,"7,697",2,24,24,0,0,100.00%,0.34%,0.03%,0.31%,0.31%,0.00%,0.00%
20260126,15,時報資訊股份有限公司,2770,中時電子報_HB,12561,MW_300x250_內頁TOP Banner_中時電子報_HB,antifroud,知名媒體,,"7,723","7,723",12,"7,711",0,12,12,0,0,100.00%,0.16%,0.00%,0.16%,0.16%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2768,czbooks,12570,CF_728x90_banner_czbooks,,,,"62,942","62,942",248,"62,694",175,73,73,0,0,100.00%,0.39%,0.28%,0.12%,0.12%,0.00%,0.00%
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12579,CF_300x250_右側第一塊_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,963","3,962",40,"3,922",18,22,22,0,0,99.97%,1.01%,0.45%,0.56%,0.56%,0.00%,0.00%
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12580,CF_300x250_內文文中左側_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"4,391","4,391",49,"4,342",19,30,30,0,0,100.00%,1.12%,0.43%,0.68%,0.68%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,12676,CF_728X90_manhuagui,antifroud,,,"42,570","42,570",436,"42,134",297,139,139,0,0,100.00%,1.02%,0.70%,0.33%,0.33%,0.00%,0.00%
20260126,15,艾得基客行銷顧問股份有限公司,2635,工商時報,12761,MW_320x480_文中創意_工商時報new,,知名媒體,,310,310,0,310,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2801,damanwoo,12868,CF-300x250_Banner_damanwoo_大人物,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2820,星座好朋友(horofriend88),12966,MW_320x100_horofriend88,antifroud,,,80,80,0,80,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,東森電視事業股份有限公司,2014,東森新聞網,13162,MW_置底創意(展開)_東森新聞網,antifroud,知名媒體,,338,338,2,336,0,2,2,0,0,100.00%,0.59%,0.00%,0.59%,0.59%,0.00%,0.00%
20260126,15,曾憲敏,202,85小說網,13445,MW_336X280_全量1_85小說網,,,,236,236,0,236,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,曾憲敏,202,85小說網,13446,MW_336X280_全量2_85小說網,,,,"2,703","2,703",0,"2,703",0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,曾憲敏,601,85小說網_PC,13450,(子)CF_336x280_全量2_85小說網,,,子聯播網,308,308,4,304,0,4,4,0,0,100.00%,1.30%,0.00%,1.30%,1.30%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2768,czbooks,13481,MW_300x250_banner_czbooks,antifroud,,子聯播網,"45,272","45,272",106,"45,166",6,100,100,0,0,100.00%,0.23%,0.01%,0.22%,0.22%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2910,clickme,13548,(子)CF_300x250_banner_clickme(一般),,,子聯播網,778,778,23,755,16,7,7,0,0,100.00%,2.96%,2.06%,0.90%,0.90%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2910,clickme,13549,CF_300x250_banner_clickme(一般),,,,745,745,0,745,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2916,KiKiNote,13576,(子)CF_300x250_banner_kikinote,,知名媒體,子聯播網,"1,872","1,872",46,"1,826",17,29,29,0,0,100.00%,2.46%,0.91%,1.55%,1.55%,0.00%,0.00%
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13848,CF_300x250_轉址失敗_最右邊_reurl,,知名媒體,,6,6,6,0,0,6,6,0,0,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%
20260126,15,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13856,CF_300x250_轉址失敗頁第二塊_reurl,,知名媒體,,6,6,6,0,0,6,6,0,0,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2768,czbooks,13903,(子)CF_300x250_banner_czbooks(直播),antifroud,,子聯播網,"240,645","240,645","1,141","239,504",767,374,374,0,0,100.00%,0.47%,0.32%,0.16%,0.16%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2768,czbooks,14036,MW_320x480_CZBOOKS,antifroud,,,666,666,0,666,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,陳人鳳,480,飛格寵物家族_PC,1407,CF-728X90_上方通欄_飛格寵物家族,,,,26,26,7,19,0,7,7,0,0,100.00%,26.92%,0.00%,26.92%,26.92%,0.00%,0.00%
20260126,15,陳人鳳,480,飛格寵物家族_PC,1408,CF-300X250_內文_飛格寵物家族,,,,86,86,22,64,0,22,22,0,0,100.00%,25.58%,0.00%,25.58%,25.58%,0.00%,0.00%
20260126,15,東森電視事業股份有限公司,2014,東森新聞網,14097,MW_蓋版_東森新聞網,,知名媒體,,"1,893","1,893",2,"1,891",0,2,2,0,0,100.00%,0.11%,0.00%,0.11%,0.11%,0.00%,0.00%
20260126,15,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,14210,MW_文中創意300x250_縮短網址產生器-reurl,,知名媒體,,146,146,34,112,13,21,21,0,0,100.00%,23.29%,8.90%,14.38%,14.38%,0.00%,0.00%
20260126,15,朱漢崴,3050,查電話_exchange,14221,MW_336x280_查電話首頁_最新回報下方 _whocll 查電話,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,富盈數據股份有限公司,3059,塔科女子,14258,CF_336x280_全網_塔科女子,,知名媒體,,132,132,0,132,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,CBROOT LTD,3003,包子漫畫-exchange,14291,MW_300x250_蓋板(PB)_包子漫畫,,,,235,235,0,235,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,朱光宁,3152,石頭小說-exchange,14472,MW_336x280_Banner_石頭小說,,,,"5,580","5,580",6,"5,574",0,6,6,0,0,100.00%,0.11%,0.00%,0.11%,0.11%,0.00%,0.00%
20260126,15,朱光宁,3268,稷下書院-mobile,14737,MW_置底創意(非展開)_稷下書院-mobile,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,朱光宁,3149,稷下書院-exchange,14748,MW_320x100_置底(PB)_稷下書院,,,,"19,156","19,156",206,"18,950",128,78,78,0,0,100.00%,1.08%,0.67%,0.41%,0.41%,0.00%,0.00%
20260126,15,巨思文化股份有限公司,3053,數位時代_HB,14764,MW_置底創意_(非展開)_數位時代_HB,,知名媒體,,80,80,2,78,0,2,2,0,0,100.00%,2.50%,0.00%,2.50%,2.50%,0.00%,0.00%
20260126,15,曾憲敏,3327,85小說網_創意,15228,MW-創意-85小說網,,,,403,403,0,403,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,千晶文化事業股份有限公司,3336,Beauty 美人圈,15254,MW_置底創意(非展開)_ Beauty 美人圈,,知名媒體,,510,510,0,510,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,15,中天電視股份有限公司,3282,中天新聞網-exchange,15859,CF_336x280_內頁_PC右側互動看板B-中天新聞網-exchange,,知名媒體,,"1,296","1,296",168,"1,128",118,50,50,0,0,100.00%,12.96%,9.10%,3.86%,3.86%,0.00%,0.00%
