日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Reduced Value Inventory (RVI) Ads,Incentivized Browsing (RVI) Ads,Proxy Server (RVI) Ads,seeThrough Ads,Invisible URL Ads,Total Eligible Ads for Site Quality,% Reduced Value Inventory (RVI) Ads,% seeThrough Ads,Invisible URL rate,% Incentivized Browsing (RVI) Ads,% Proxy Server (RVI) Ads
20260126,15,英屬維京群島商浩美數位有限公司台灣分公司,2315,Teepr亮新聞-exchange,10012,CF_336x280Banner_Teepr亮新聞-exchange,,知名媒體,,584,12,0,12,396,0,584,2.05%,67.81%,0.00%,0.00%,2.05%
20260126,15,第一網站股份有限公司,2300,keketravel,10594,(子)CF_336x280_keketravel,,,子聯播網,8,0,0,0,8,0,8,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,15,昱得資訊工作室,2528,數位書香,11080,CF_728x90_首頁上方_數位書香,antifroud,,,7,0,0,0,7,0,7,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,15,昱得資訊工作室,2528,數位書香,11081,CF_160x600_首頁右側_數位書香,antifroud,,,438,0,0,0,438,0,438,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2540,risu短網址,11260,MW-300X250-MB_page_left-risu,,知名媒體,,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2492,ttshow,11273,MW-300X250-ttshow,,知名媒體,,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,15,第一網站股份有限公司,2601,Meme梗圖倉庫,11443,CF-336X280-meme,,,,353,12,0,12,336,0,353,3.40%,95.18%,0.00%,0.00%,3.40%
20260126,15,艾得基客行銷顧問股份有限公司,2578,鉅亨網,12070,MW_320x480_文中創意_鉅亨網,,知名媒體,,"7,747",401,0,401,"6,241",0,7747,5.18%,80.56%,0.00%,0.00%,5.18%
20260126,15,時報資訊股份有限公司,2770,中時電子報_HB,12561,MW_300x250_內頁TOP Banner_中時電子報_HB,antifroud,知名媒體,,"7,717",958,0,958,"6,321",0,7717,12.41%,81.91%,0.00%,0.00%,12.41%
20260126,15,第一網站股份有限公司,2768,czbooks,12570,CF_728x90_banner_czbooks,,,,"62,948",680,0,680,"62,822",0,62948,1.08%,99.80%,0.00%,0.00%,1.08%
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12579,CF_300x250_右側第一塊_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,969",140,0,140,"3,157",0,3969,3.53%,79.54%,0.00%,0.00%,3.53%
20260126,15,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12580,CF_300x250_內文文中左側_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"4,391",111,0,111,"3,671",0,4391,2.53%,83.60%,0.00%,0.00%,2.53%
20260126,15,第一網站股份有限公司,2783,漫畫櫃manhuagui,12676,CF_728X90_manhuagui,antifroud,,,"42,582","5,334",0,"5,334","38,699",0,42582,12.53%,90.88%,0.00%,0.00%,12.53%
20260126,15,艾得基客行銷顧問股份有限公司,2635,工商時報,12761,MW_320x480_文中創意_工商時報new,,知名媒體,,310,28,0,28,245,0,310,9.03%,79.03%,0.00%,0.00%,9.03%
